"Revista","Identificador","Editorial"
"Revista Clinica Espanola","514","Elsevier"
"Revista Colombiana de Matematicas","515","Sociedad Colombiana de Matematicas"
"Revista Cubana de Fisica","516","Sociedad Cubana de Fisica"
"Revista de Senología y Patología Mamaria","517","Elsevier"
"Revista Espanola de Estudios Agrosociales y Pesqueros","518","Ministerio de Agricultura Pesca y Alimentacion de Espana"
"Revista Forestal Baracoa","519","Empresa Nacional para la Proteccion de la Flora y la Fauna de Cuba"
"Revista Iberoamericana de Sistemas Cibernetica en Informatica","520","International Institute of Informatics and Systemics"
"Revista Iberoamericana de Automatica e Informatica industrial","521","Elsevier"
"Revista Matematica Complutense","522","Universidad Complutense de Madrid"
"Revista Matematica Hispanoamericana","523","EMS Publishing House"
"Revista Matematica Iberoamericana","524","European Mathematical Society"
"Revista PH","525","Instituto Andaluz del Patrimonio Historico"
"Revista de Acustica","526","Sociedad Espanola de Acustica"
"Revista de Contabilidad","527","Asociacion Espanola de Profesores Universitarios de Contabilidad"
"Revista de Contabilidad y Tributacion. CEF","528","Centro de Estudios Financieros"
"Revista de Contabilidad-Spanish Accounting Review","529","Asociacion Espanola de Profesores Universitarios de Contabilidad"
"Revista de Economia Publica Social y Cooperativa","530","CIRIEC-Espana"
"Revista de Estudios Empresariales. Segunda Epoca","531","Universidad de Jaen"
"Revista de economia financiera","532","CEF.- Centro de Estudios Financieros"
"Revista de estudios regionales","533","Asociacion Espanola de Ciencia Regional"
"Revista de la Academia Canaria de Ciencias","534","Academia Canaria de Ciencias"
"Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie","535","Springer"
"Revista espanola de cardiologia","536","Sociedad Espanola de Cardiologia"
"Revista espanola de fisica","537","Real Sociedad Espanola de Fisica"
"Revista europea de direccion y economia de la empresa","538","Elsevier"
"Revista general de informacion y documentacion","539","Universidad Complutense de Madrid"
"Revista internacional de transparencia e integridad","540","Transparencia Internacional Espana"
"Revista matematica de la Universidad Complutense de Madrid","541","Universidad Complutense de Madrid"
"Revista mexicana de fisica","542","Sociedad Mexicana de Fisica"
"Revista valenciana destudis autonomics","543","Generalitat Valenciana"
"Rocky Mountain Journal of Mathematics","544","Rocky Mountain Mathematics Consortium"
"Royal Irish Academy","545","Royal Irish Academy"
"SAE Technical Paper","546","SAE International"
"SAGE Publications","547","SAGE Publications"
"SCMNoticies","548","Societat Catalana de Matemàtiques"
"SEDIC","549","Sociedad Espanola de Documentacion e Informacion Cientifica"
"SIGMA. Symmetry Integrability and Geometry: Methods and Applications","550","University of Waterloo"
"SPE Latin America and Caribbean Petroleum Engineering Conference SPE","551","Society of Petroleum Engineers"
"SPIE Photonics West","552","SPIE"
"SSRN","553","Elsevier"
"Scandinavian journal of psychology","554","Wiley-Blackwell"
"Science Advances","555","American Association for the Advancement of Science"
"Scientific Reports","556","Nature Publishing Group"
"Scientometrics","557","Springer"
"Scire: Representacion y organizacion del conocimiento","558","Universidad de Zaragoza"
"Semigroup Forum","559","Springer"
"Sensors","560","MDPI"
"Service Business","561","Springer"
"Servicio Editorial de la Universidad del Pais Vasco/Euskal Herriko","562","Universidad del Pais Vasco/Euskal Herriko Unibertsitatea"
"Set Valued Analysis","563","Springer"
"Shock and Vibration","564","Hindawi"
"Signal Image and Video Processing","565","Springer"
"Signal Processing","566","Elsevier"
"Situacion y tendencias de la contabilidad de gestion en el ambito","567","Asociacion Espanola de Contabilidad y Administracion de Empresas (AECA)"
"Sociedad Espanola de Investigacion en Educacion Matematica","568","Sociedad Espanola de Investigacion en Educacion Matematica"
"Solitons & Fractals","569","Elsevier"
"South African Journal of Science","570","Academy of Science of South Africa"
"Southeast Asian Bulletin of Mathematics","571","South East Asian Mathematical Society"
"Spinal cord","572","Nature Publishing Group"
"Structural and Multidisciplinary Optimization","573","Springer"
"Structures","574","Elsevier"
"Studia Math","575","Institute of Mathematics Polish Academy of Sciences"
"Studia Psychologica","576","Institute of Experimental Psychology Slovak Academy of Sciences"
"Studia Scientiarum Mathematicarum Hungarica","577","Akademiai Kiado"
"Studies of Applied Economics","578","Universidad de Malaga"
"Suma","579","Federacion Espanola de Sociedades de Profesores de Matematicas"
"Sustainability","580","MDPI"
"Symmetry","581","MDPI"
"TU Delft","582","Universidad Tecnica de Delft"
"Taiwanese Journal of Mathematics","583","Mathematical Society of the Republic of China"
"Tarbiya Revista de Investigacion e Innovacion Educativa","584","Universidad Autonoma de Madrid"
"Technium Soc. Sci. J.","585","Technium Science"
"Technological and Economic Development of Economy","586","Vilnius Gediminas Technical University"
"The American Mathematical Monthly","587","Mathematical Association of America"
"The Astronomical Journal","588","IOP Publishing"
"The European Physical Journal C","589","Springer"
"The European Physical Journal D","590","Springer"
"The European Physical Journal Special Topics","591","Springer"
"The Journal of Geometric Analysis","592","Springer"
"The Journal of the Acoustical Society of America","593","Acoustical Society of America"
"The Physics Teacher","594","American Association of Physics Teachers"
"The Quarterly Journal of Mathematics","595","Oxford University Press"
"The Rocky Mountain Journal of Mathematics","596","Rocky Mountain Mathematics Consortium"
"The journal of physical chemistry letters","597","American Chemical Society"
"Theoria: An International Journal for Theory History and Foundations of","598","Wiley-Blackwell"
"Thermal Science","599","Vinca Institute of Nuclear Sciences"
"Top","600","Springer"
"Topology","601","Elsevier"
"Topology and its Applications","602","Elsevier"
"Transactions of the American Mathematical Society","603","American Mathematical Society"
"Turkish Journal of Mathematics","604","The Scientific and Technological Research Council of Turkey"
"US Patent App.","605","United States Patent and Trademark Office"
"Ukrainian Journal of Physics","606","Bogolyubov Institute for Theoretical Physics"
"Universe","607","MDPI"
"Universidad Nacional de Educacion a Distancia. Departamento de Matematicas","608","Universidad Nacional de Educacion a Distancia (UNED)"
"Universidad Politecnica de Valencia","609","Universitat Politecnica de Valencia"
"Universidad de Alicante","610","Universidad de Alicante"
"Universidad de Extremadura Servicio de Publicaciones","611","Universidad de Extremadura"
"Universidad de Murcia","612","Universidad de Murcia"
"Universidad de Oviedo","613","Universidad de Oviedo"
"Universidad nacional de educacion a distancia","614","Universidad Nacional de Educacion a Distancia (UNED)"
"Universita degli Studi di Trieste. Dipartimento di Scienze Matematiche","615","Università degli Studi di Trieste"
"Universitat Politecnica de Valencia","616","Universitat Politecnica de Valencia"
"Universitat Ramon Llull","617","Universitat Ramon Llull"
"Universitat de Barcelona","618","Universitat de Barcelona"
"Universitat de Girona. Institut de Ciencies de l'Educacio Josep Pallach","619","Universitat de Girona"
"Universitat de Valencia","620","Universitat de Valencia"
"Universitatsbibliothek der RWTH Aachen","621","RWTH Aachen University"
"University of Helsinki. Department of Mathematics","622","University of Helsinki"
"University of Nis","623","University of Nis"
"University of Sistan and Baluchestan","624","University of Sistan and Baluchestan"
"Uno: Revista de didactica de las matematicas","625","Editorial Grao"
"Updated and Expanded","626","Springer"
"Valencia: CSIC Generalitat Valenciana","627","Consejo Superior de Investigaciones Cientificas (CSIC) y Generalitat Valenciana"
"Vietnam Journal of Mathematics","628","Springer"
"Vilnius Gediminas Technical University","629","Vilnius Gediminas Technical University"
"Vilnius University","630","Vilnius University"
"Viscoelastic and Viscoplastic Materials","631","InTech"
"WIT Transactions on Engineering Sciences","632","WIT Press"
"WO Patent","633","World Intellectual Property Organization"
"WPOM-Working Papers on Operations Management","634","Universitat Politecnica de Valencia"
"Walter de Gruyter","635","Walter de Gruyter GmbH"
"Walter de Gruyter GmbH & Co. KG","636","Walter de Gruyter GmbH & Co. KG"
"Wave Motion","637","Elsevier"
"Waves","638","Academic Press"
"Waves in Random and Complex Media","639","Taylor & Francis"
"Wiadomosci Matematyczne","640","Polish Mathematical Society"
"Wiley Liss Inc.","641","John Wiley & Sons"
"Wiley VCH Verlag","642","John Wiley & Sons"
"World Scientific Publishing Co. Pte Ltd","643","World Scientific Publishing Co. Pte"
"Zeitschrift fur Analysis und ihre Anwendungen","644","European Mathematical Society"
"Zeitschrift fur Physik A Hadrons and Nuclei","645","Springer"
"Zeitschrift fur Physik C Particles and Fields","646","Springer"
"Zeta functions in algebra and geometry. Contemp. Math","647","American Mathematical Society"
"eurasian journal of mathematical and computer applications","648","L.N. Gumilyov Eurasian National University"
"international journal of hydrogen energy","649","Elsevier"
"manuscripta mathematica","650","Springer"
